model_id,advertised_context_tokens,advertised_max_output_tokens,measured_effective_context_tokens,measurement_benchmark,measurement_threshold,evidence_grade,source_id,source_date,notes
gpt-5.6-sol,1050000,128000,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,openai2026models,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
gpt-5.6-terra,1050000,128000,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,openai2026models,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
gpt-5.6-luna,1050000,128000,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,openai2026models,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
claude-fable-5,1000000,128000,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,anthropic2026overview,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
claude-opus-4-8,1000000,128000,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,anthropic2026overview,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
claude-sonnet-5,1000000,128000,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,anthropic2026overview,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
gemini-3-1-pro,1000000,64000,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,C,deepmind2026geminipro,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
grok-4-5,500000,Not publicly disclosed,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,xai2026docs,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
meta-muse-spark-1-1,1000000,Not publicly disclosed,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,meta2026muse,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
deepseek-v4-pro,1000000,Not publicly disclosed,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,deepseek2026preview,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
deepseek-v4-flash,1000000,Not publicly disclosed,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,deepseek2026preview,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
mistral-medium-3-5,256000,Not publicly disclosed,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,mistral2026medium,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
mistral-small-4,256000,Not publicly disclosed,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,mistral2026small,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
qwen-3-6,1000000,Not publicly disclosed,Insufficient independent evidence,Insufficient independent evidence,Insufficient independent evidence,B,qwen2026realworld,2026-07-22,"No per-model effective-context measurement was extracted. The long-context literature establishes that advertised capacity exceeds reliable capacity, but that finding is not a per-model number and is not recorded as one."
